2015-07-17 01:42:27,888 |OFBiz-config-1       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-17 01:42:27,889 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-07-17 01:42:27,889 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-07-17 01:42:27,889 |OFBiz-config-1       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-17 01:42:27,889 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-07-17 01:42:27,889 |OFBiz-config-1       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-17 01:42:27,890 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-07-17 01:42:27,890 |OFBiz-config-1       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-17 01:42:27,890 |OFBiz-config-0       |DatabaseUtil                  |I| - outer joins               [true]*
2015-07-17 01:42:27,890 |OFBiz-config-0       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-07-17 01:42:27,890 |OFBiz-config-0       |DatabaseUtil                  |I| - full outer joins          [true]
2015-07-17 01:42:27,890 |OFBiz-config-2       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-17 01:42:27,890 |OFBiz-config-0       |DatabaseUtil                  |I| - group by                  [true]*
